OLPbi,OLPbt,OLPbrt,TBPbi,THObi,TBPbt,THObt,TBPbrt,THObrt,GLKbp,GLKbt,GLKbrt
27,229,NA,15.9,16.7,6.28,6.23,NA,NA,83.3,57,NA
31,210,NA,4.78,4.52,7.36,6.51,NA,NA,72.6,59.5,NA
44,191,NA,19.7,18.8,4.53,4.03,NA,NA,89.8,56.8,NA
42,169,NA,24.6,17.5,5.25,5.08,NA,NA,88.1,59.5,NA
20,187,NA,9.42,8.83,5.95,5.14,NA,NA,72.5,56.4,NA
37,208,NA,12.3,12.4,4.41,5.82,NA,NA,81.1,60.8,NA
27,193,NA,17.2,15.2,4.67,5.39,NA,NA,83.3,63.2,NA
49,167,NA,26,23.6,2.22,2.24,NA,NA,88.8,51.8,NA
33,196,NA,16.5,15.1,6.21,6.92,NA,NA,92.4,62,NA
12,207,NA,4.94,7.72,4.61,3.67,NA,NA,79.2,56.3,NA
26,229,NA,17.6,18.5,6.15,5.43,NA,NA,94.2,58.3,NA
16,197,NA,12.8,19.2,6.88,6.01,NA,NA,90.6,57.1,NA
22,204,NA,27.9,20,6.32,6.32,NA,NA,93.2,61,NA
15,229,NA,10,19.9,4.78,6.03,NA,NA,96.7,55.7,NA
15,208,NA,19.3,17.3,3.9,3.61,NA,NA,90,60.3,NA
52,227,NA,51.6,48.5,8.42,9.17,NA,NA,97.1,72,NA
18,208,NA,15.5,9.1,6.75,6.51,NA,NA,75,63.2,NA
52,213,NA,40.3,56.4,8.97,9.3,NA,NA,90.4,67.8,NA
34,188,NA,4.59,3.64,3.61,3.32,NA,NA,67.6,64.6,NA
18,169,NA,7.08,5.11,4.95,4.45,NA,NA,80.6,61.8,NA
11,166,NA,5.06,4.13,5.27,5.27,NA,NA,77.3,63,NA
17,164,NA,9.53,9.65,1.46,1.88,NA,NA,85.3,56.1,NA
24,226,NA,9.31,6.67,10.2,9.67,NA,NA,81.3,65.9,NA
18,212,NA,9.25,6.71,5.72,4.91,NA,NA,91.7,59,NA
22,197,NA,9.66,7.79,3.4,3.59,NA,NA,75,57.1,NA
31,169,NA,9.36,7.91,3.94,4.47,NA,NA,91.9,61.8,NA
31,170,NA,16.6,17.2,4.82,5.33,NA,NA,91.9,64.1,NA
25,209,NA,6.44,6.46,8.1,8.58,NA,NA,74,64.8,NA
16,235,NA,5.54,7.06,7.05,7.37,NA,NA,71.9,64.3,NA
13,202,NA,5.76,5.94,6.94,7.96,NA,NA,73.1,64.6,NA
19,216,NA,2.59,2.2,4.45,4.79,NA,NA,71.1,66,NA
84,243,NA,25.8,24.7,4.1,4.47,NA,NA,91.1,59.9,NA
58,210,NA,10.8,9.75,6.24,6.17,NA,NA,78.4,65.2,NA
38,192,NA,3.98,3.44,4.67,5.1,NA,NA,52.6,60.7,NA
36,169,NA,11.5,12.9,9.14,9.72,NA,NA,97.2,70.7,NA
30,188,NA,10.5,9.58,4.03,3.71,NA,NA,88.3,62,NA
14,209,NA,9.01,8.1,7.93,8.03,NA,NA,89.3,65.8,NA
44,194,NA,14.8,13.1,2.67,2.7,NA,NA,79.5,59.3,NA
23,167,NA,9.3,10.3,3.09,2.81,NA,NA,89.1,56.6,NA
29,196,NA,2.92,4.03,6.14,7.09,NA,NA,67.2,67.1,NA
20,207,NA,7.21,6.74,2,1.94,NA,NA,77.5,61.1,NA
16,243,NA,2.73,2.23,5.96,5.63,NA,NA,78.1,60.3,NA
15,197,NA,6.09,6.63,4.37,3.68,NA,NA,83.3,60.2,NA
12,204,NA,5.22,4.11,6.47,6.34,NA,NA,87.5,61,NA
10,243,NA,3.09,3.78,9.08,11.1,NA,NA,85,69.5,NA
13,209,NA,3.11,3.81,3.89,3.86,NA,NA,80.8,62.4,NA
21,208,NA,4.51,3.04,5.83,6.37,NA,NA,73.8,60.8,NA
