TBPbp,THObp,TBPbt,THObt,TBPrt,THOrt
NA,NA,4.99,5.47,NA,NA
NA,NA,8.28,8.3,NA,NA
NA,NA,5.53,4.86,NA,NA
NA,NA,4.32,4.75,NA,NA
NA,NA,6.52,7.31,NA,NA
NA,NA,6.38,5.9,NA,NA
NA,NA,3.22,3.07,NA,NA
NA,NA,5.61,5.98,NA,NA
NA,NA,6.79,7.24,NA,NA
NA,NA,5.43,6.49,NA,NA
NA,NA,3.47,2.8,NA,NA
NA,NA,6.26,6.22,NA,NA
NA,NA,4.09,3.46,NA,NA
NA,NA,4.16,3.89,NA,NA
NA,NA,5.91,5.91,NA,NA
NA,NA,5.75,5.38,NA,NA
NA,NA,6.57,6.69,NA,NA
NA,NA,4.18,4.17,NA,NA
NA,NA,8.89,8.51,NA,NA
NA,NA,4.75,4.57,NA,NA
NA,NA,8.77,9.05,NA,NA
NA,NA,6.88,6.31,NA,NA
NA,NA,7.32,7.62,NA,NA
NA,NA,5.5,6.67,NA,NA
NA,NA,3.83,3.82,NA,NA
NA,NA,7.34,7.52,NA,NA
NA,NA,7.54,6.72,NA,NA
NA,NA,7.46,7.33,NA,NA
NA,NA,5.87,5.58,NA,NA
NA,NA,3.52,3.74,NA,NA
NA,NA,4.81,4.54,NA,NA
NA,NA,7.11,7.15,NA,NA
NA,NA,3.85,3.75,NA,NA
NA,NA,9.55,8.07,NA,NA
NA,NA,5.54,5.35,NA,NA
NA,NA,7.8,6.66,NA,NA
NA,NA,4.99,5.26,NA,NA
NA,NA,3.79,3.96,NA,NA
NA,NA,6.8,5.84,NA,NA
NA,NA,5.27,4.18,NA,NA
NA,NA,4.89,4,NA,NA
NA,NA,0.81,1.55,NA,NA
NA,NA,3.5,2.63,NA,NA
NA,NA,5.96,5.97,NA,NA
NA,NA,2.93,1.42,NA,NA
NA,NA,5.91,5.19,NA,NA
NA,NA,1.72,1.02,NA,NA
NA,NA,4.67,3.51,NA,NA
NA,NA,3.36,3.34,NA,NA
NA,NA,1.91,2.41,NA,NA
NA,NA,4.02,3.73,NA,NA
NA,NA,8.74,9.45,NA,NA
NA,NA,2.51,1.7,NA,NA
NA,NA,3.82,3.41,NA,NA
NA,NA,4.96,5.11,NA,NA
NA,NA,0.66,0.58,NA,NA
NA,NA,5.79,5.36,NA,NA
NA,NA,4.55,4.12,NA,NA
NA,NA,7.71,7.2,NA,NA
NA,NA,7.12,7.76,NA,NA
NA,NA,2.75,2.87,NA,NA
NA,NA,6.77,5.72,NA,NA
NA,NA,5.44,4.71,NA,NA
NA,NA,5.73,5.97,NA,NA
NA,NA,8.01,7.2,NA,NA
NA,NA,5.59,5.96,NA,NA
NA,NA,7.49,6.43,NA,NA
NA,NA,6.67,6.96,NA,NA
NA,NA,6.7,5.28,NA,NA
NA,NA,4.6,4.7,NA,NA
NA,NA,3.93,2.66,NA,NA
NA,NA,3.8,3.12,NA,NA
NA,NA,7.6,6.77,NA,NA
NA,NA,8.09,7.91,NA,NA
NA,NA,3.59,3.06,NA,NA
NA,NA,5.79,6.09,NA,NA
NA,NA,3.7,3.58,NA,NA
NA,NA,9.8,8.7,NA,NA
NA,NA,5.7,6.46,NA,NA
NA,NA,4.02,4.44,NA,NA
NA,NA,4.51,3.63,NA,NA
NA,NA,4.94,4.65,NA,NA
NA,NA,3.42,3.58,NA,NA
NA,NA,4.07,3.89,NA,NA
NA,NA,5.25,5.39,NA,NA
NA,NA,4.69,3.98,NA,NA
NA,NA,3.58,3.7,NA,NA
NA,NA,1.91,1.62,NA,NA
NA,NA,6.24,5.84,NA,NA
NA,NA,2.51,2.78,NA,NA
NA,NA,4.38,4.28,NA,NA
NA,NA,2.78,3.16,NA,NA
NA,NA,6.8,6.36,NA,NA
NA,NA,4.29,4.24,NA,NA
NA,NA,0.96,0.88,NA,NA
NA,NA,4.2,4.06,NA,NA
NA,NA,8.67,8.21,NA,NA
NA,NA,5.54,4.67,NA,NA
NA,NA,9.02,8.4,NA,NA
NA,NA,7.17,8.38,NA,NA
NA,NA,5,5.06,NA,NA
NA,NA,3.03,3.1,NA,NA
NA,NA,5.59,6.04,NA,NA
NA,NA,4.45,4.01,NA,NA
NA,NA,2.19,2.45,NA,NA
NA,NA,2.11,1.74,NA,NA
NA,NA,5.33,3.96,NA,NA
NA,NA,6.65,6.43,NA,NA
NA,NA,6.04,6.56,NA,NA
NA,NA,3.61,3.42,NA,NA
NA,NA,3.72,3.2,NA,NA
NA,NA,4.79,4.99,NA,NA
NA,NA,3.33,2.71,NA,NA
NA,NA,5.92,6.23,NA,NA
NA,NA,5.64,5.16,NA,NA
NA,NA,1.87,2.08,NA,NA
